mq3_ratio,mq136_ratio,mq137_ratio,Gas_Type
0.887422,0.322495,0.994473,mixture(So2+No2+Co2+Co)
0.930526,0.371229,0.996833,mixture(So2+No2+Co2+Co)
0.802589,0.307198,0.992122,mixture(So2+No2+Co2+Co)
0.640528,0.227051,0.994473,mixture(So2+No2+Co2+Co)
0.646341,0.238721,0.994473,mixture(So2+No2+Co2+Co)
0.563169,0.200311,0.994473,mixture(So2+No2+Co2+Co)
0.599688,0.230584,0.994473,mixture(So2+No2+Co2+Co)
0.589556,0.215111,0.992122,mixture(So2+No2+Co2+Co)
0.634805,0.243385,0.996833,mixture(So2+No2+Co2+Co)
0.653739,0.255811,0.996833,mixture(So2+No2+Co2+Co)
0.612785,0.242597,0.989782,mixture(So2+No2+Co2+Co)
0.577303,0.222939,0.992122,mixture(So2+No2+Co2+Co)
0.590807,0.217021,0.996833,mixture(So2+No2+Co2+Co)
0.572524,0.205421,0.999204,mixture(So2+No2+Co2+Co)
0.678445,0.269458,1.011206,mixture(So2+No2+Co2+Co)
0.691423,0.283465,1.011206,mixture(So2+No2+Co2+Co)
0.696403,0.290986,1.001584,mixture(So2+No2+Co2+Co)
0.767444,0.317241,1.016079,mixture(So2+No2+Co2+Co)
0.779528,0.319848,1.003974,mixture(So2+No2+Co2+Co)
0.81348,0.337823,1.006374,mixture(So2+No2+Co2+Co)
0.83608,0.348309,1.008785,mixture(So2+No2+Co2+Co)
0.85348,0.358823,1.006374,mixture(So2+No2+Co2+Co)
0.87608,0.368309,1.008785,mixture(So2+No2+Co2+Co)
0.857408,0.352992,1.013637,mixture(So2+No2+Co2+Co)
0.874688,0.349857,1.003974,mixture(So2+No2+Co2+Co)
0.890009,0.348309,1.011206,mixture(So2+No2+Co2+Co)
0.887422,0.340758,1.003974,mixture(So2+No2+Co2+Co)
0.829183,0.241033,0.996833,mixture(So2+No2+Co2+Co)
0.767444,0.196493,1.006374,mixture(So2+No2+Co2+Co)
0.449776,0.140356,1.008785,mixture(So2+No2+Co2+Co)
0.491337,0.176526,1.006374,mixture(So2+No2+Co2+Co)
0.552956,0.211995,1.006374,mixture(So2+No2+Co2+Co)
0.547418,0.217664,1.006374,mixture(So2+No2+Co2+Co)
0.465167,0.181515,1.016079,mixture(So2+No2+Co2+Co)
0.259808,0.095618,1.006374,mixture(So2+No2+Co2+Co)
0.326873,0.136884,1.013637,mixture(So2+No2+Co2+Co)
0.364259,0.152089,1.020993,mixture(So2+No2+Co2+Co)
0.35125,0.142453,1.016079,mixture(So2+No2+Co2+Co)
0.283493,0.122703,1.01853,mixture(So2+No2+Co2+Co)
0.403672,0.197571,1.013637,mixture(So2+No2+Co2+Co)
0.444319,0.218311,1.003974,mixture(So2+No2+Co2+Co)
0.47021,0.234958,1.003974,mixture(So2+No2+Co2+Co)
0.501561,0.253233,1.013637,mixture(So2+No2+Co2+Co)
0.510197,0.255811,1.003974,mixture(So2+No2+Co2+Co)
0.554075,0.2753,1.013637,mixture(So2+No2+Co2+Co)
0.525165,0.283465,1.013637,mixture(So2+No2+Co2+Co)
0.57134,0.292091,1.020993,mixture(So2+No2+Co2+Co)
0.579718,0.232025,1.013637,mixture(So2+No2+Co2+Co)
0.465167,0.10948,1.013637,mixture(So2+No2+Co2+Co)
0.419306,0.120849,1.020993,mixture(So2+No2+Co2+Co)
0.423549,0.140653,1.016079,mixture(So2+No2+Co2+Co)
0.385886,0.128313,1.013637,mixture(So2+No2+Co2+Co)
0.348633,0.122938,1.01853,mixture(So2+No2+Co2+Co)
0.368767,0.141248,1.020993,mixture(So2+No2+Co2+Co)
0.398456,0.133286,1.023466,mixture(So2+No2+Co2+Co)
0.374529,0.114928,1.023466,mixture(So2+No2+Co2+Co)
0.364817,0.113063,1.023466,mixture(So2+No2+Co2+Co)
0.373365,0.12806,1.023466,mixture(So2+No2+Co2+Co)
0.384056,0.128821,1.020993,mixture(So2+No2+Co2+Co)
0.352835,0.106823,1.023466,mixture(So2+No2+Co2+Co)
