Sno,MQ-135,MQ-136,MQ-137,Gas
1,1.035,1.046,0.997,No_Gas
2,1.028,1.03,0.999,No_Gas
3,1.05,1.03,0.997,No_Gas
4,1.035,1.046,0.999,No_Gas
5,1.042,1.015,0.999,No_Gas
6,1.05,1.038,0.997,No_Gas
7,1.035,1.03,0.999,No_Gas
8,1.042,1.022,0.995,No_Gas
9,1.042,1.022,0.991,No_Gas
10,1.035,1.03,1.003,No_Gas
11,1.042,1.03,0.991,No_Gas
12,1.042,1.022,0.991,No_Gas
13,1.057,1.015,0.993,No_Gas
14,1.035,1.022,0.991,No_Gas
15,1.042,1.015,0.995,No_Gas
16,1.057,1.03,0.995,No_Gas
17,1.05,1.038,0.997,No_Gas
18,1.057,1.03,1.007,No_Gas
19,1.057,1.022,0.997,No_Gas
20,1.035,1.046,0.999,No_Gas
21,1.05,1.046,0.995,No_Gas
22,1.042,1.022,0.999,No_Gas
23,1.035,1.022,0.995,No_Gas
24,1.057,1.03,0.999,No_Gas
25,1.042,1.022,0.999,No_Gas
26,1.042,1.022,0.995,No_Gas
27,1.042,1.03,0.995,No_Gas
28,1.042,1.015,0.999,No_Gas
29,1.064,1.022,0.993,No_Gas
30,1.042,1.015,1.003,No_Gas
31,1.057,1.015,0.997,No_Gas
32,1.05,1.022,0.999,No_Gas
33,1.057,1.015,0.989,No_Gas
34,1.035,1.022,0.997,No_Gas
35,1.035,1.03,0.997,No_Gas
36,1.057,1.022,0.997,No_Gas
37,1.057,1.046,1.003,No_Gas
38,1.057,1.022,0.999,No_Gas
39,1.05,1.022,0.993,No_Gas
40,1.042,1.022,0.997,No_Gas
41,1.042,1.03,0.997,No_Gas
42,1.064,1.03,0.997,No_Gas
43,1.072,1.022,0.993,No_Gas
44,1.05,1.046,0.991,No_Gas
45,1.057,1.03,0.997,No_Gas
46,1.057,1.03,0.997,No_Gas
47,1.057,1.03,0.991,No_Gas
48,1.057,1.046,0.995,No_Gas
49,1.05,1.022,0.999,No_Gas
50,1.057,1.062,0.995,No_Gas
51,1.042,1.03,0.997,No_Gas
52,1.05,1.022,0.995,No_Gas
53,1.057,1.03,0.995,No_Gas
54,1.057,1.038,0.991,No_Gas
55,1.057,1.046,0.997,No_Gas
56,1.042,1.03,0.995,No_Gas
57,1.057,1.03,0.991,No_Gas
58,1.057,1.046,0.995,No_Gas
59,1.042,1.03,0.997,No_Gas
60,1.057,1.022,0.995,No_Gas
61,1.042,1.022,0.997,No_Gas
62,1.064,1.038,0.995,No_Gas
63,1.064,1.03,0.997,No_Gas
64,1.05,1.046,0.991,No_Gas
65,1.057,1.046,0.993,No_Gas
66,1.05,1.03,1.003,No_Gas
67,1.057,1.03,0.993,No_Gas
68,1.057,1.046,0.999,No_Gas
69,1.064,1.03,1.003,No_Gas
70,1.057,1.022,0.995,No_Gas
71,1.05,1.03,0.991,No_Gas
72,1.064,1.03,0.995,No_Gas
73,1.042,1.046,0.989,No_Gas
74,1.057,1.03,0.989,No_Gas
75,1.064,1.022,0.997,No_Gas
76,1.064,1.022,0.995,No_Gas
77,1.064,1.03,0.991,No_Gas
78,1.072,1.038,0.995,No_Gas
79,1.057,1.03,0.997,No_Gas
80,1.05,1.03,0.997,No_Gas
81,1.057,1.046,0.995,No_Gas
82,1.08,1.038,0.999,No_Gas
83,1.064,1.022,1.003,No_Gas
84,1.064,1.03,0.989,No_Gas
85,1.057,1.046,1.003,No_Gas
86,1.064,1.03,0.997,No_Gas
87,1.057,1.046,0.995,No_Gas
88,1.042,1.015,0.993,No_Gas
89,1.057,1.022,0.995,No_Gas
90,1.057,1.046,0.999,No_Gas
91,1.057,1.046,0.995,No_Gas
92,1.064,1.046,0.995,No_Gas
93,1.042,1.022,0.993,No_Gas
94,1.064,1.03,0.999,No_Gas
95,1.05,1.03,0.995,No_Gas
96,1.064,1.03,0.997,No_Gas
97,1.057,1.03,0.989,No_Gas
98,1.05,1.022,0.993,No_Gas
99,1.057,1.022,0.993,No_Gas
100,1.05,1.046,0.995,No_Gas
101,1.057,1.054,0.995,No_Gas
102,1.064,1.038,0.991,No_Gas
103,1.057,1.038,0.999,No_Gas
